st_name,cofid,gas-ads
linker107_NH_linker68_CO_qtz_relaxed,[NH]c1cc(-c2cc([NH])c(N)c([NH])c2)cc([NH])c1N.O=Cc1cnc(C=O)c([N+](=O)[O-])n1&&qtz.cat0,2.9105501612
linker104_CH2_linker72_NH_und_relaxed,[CH2]c1cc(-c2cc([CH2])c(O)c([CH2])c2O)c(O)c([CH2])c1O.CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1&&und.cat0,2.9486815415
linker104_C_linker85_C_ulj_relaxed,Cc1cc(-c2cc(C)c(O)c(C)c2O)c(O)c(C)c1O.CC(=O)c1cc(C)nnc1C&&ulj.cat0,2.8624749947
linker102_NH_linker46_CO_dia_relaxed,[NH]c1ccc2c(c1)C1(c3cc([NH])ccc3C2)c2cc([NH])ccc2Cc2ccc([NH])cc21.Cc1cnc2c(C=O)ccc(C=O)c2n1&&dia.cat0,2.9959040928
linker110_NH_linker37_CO_unf_relaxed,[NH]C12CC3([NH])CC([NH])(C1)CC([NH])(C2)C3.O=Cc1cnc(-c2ncc(C=O)cc2[N+](=O)[O-])c([N+](=O)[O-])c1&&unf.cat0,2.8309638893
linker103_NH_linker91_CH2_xux_relaxed,[NH]c1ccc2c(c1)C1(c3cc([NH])ccc3-2)c2cc([NH])ccc2-c2ccc([NH])cc21.[CH2]c1nc([CH2])nc([CH2])n1&&xux.cat0,2.9898765354
linker101_C_linker29_C_uoo_relaxed,Cc1cc(C)c(N)c(-c2cc(C)cc(C)c2N)c1.Cc1cc(N)c(-c2cc([N+](=O)[O-])c(C)cc2N)cc1[N+](=O)[O-]&&uoo.cat0,2.8623028986
linker106_C_linker68_C_lcv_relaxed_interp_2,Cc1cc(-c2cc(C)c(N)c(C)c2N)c(N)c(C)c1N.Cc1cnc(C)c([N+](=O)[O-])n1&&lcv.cat1,2.5460484285
linker105_C_linker68_C_rhr_relaxed,Cc1cc(-c2cc(C)c(O)c(C)c2)cc(C)c1O.Cc1cnc(C)c([N+](=O)[O-])n1&&rhr.cat0,2.9588875878
linker102_CO_linker86_NH_crb_relaxed,O=Cc1ccc2c(c1)C1(c3cc(C=O)ccc3C2)c2cc(C=O)ccc2Cc2ccc(C=O)cc21.[NH]c1nnc([NH])c2sc(C(F)(F)F)nc12&&crb.cat0,2.5305453693
linker109_C_linker80_C_lon_relaxed,CC(C)(C)C.Cc1nc(C(C)(C)C)c(C)c(=O)[nH]1&&lon.cat0,2.9074983266
linker111_C_linker38_C_sql_relaxed,C[Si](C)(C)C.Cc1cnc2c(c1)c(O)c(O)c1cc(C)cnc12&&sql.cat0,2.7306387914
linker101_C_linker26_C_qtz_relaxed,Cc1cc(C)c(N)c(-c2cc(C)cc(C)c2N)c1.Cc1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc(C)cc2[N+](=O)[O-])c([N+](=O)[O-])c1&&qtz.cat0,2.6348133155
linker104_C_linker1_C_dia_relaxed,Cc1cc(-c2cc(C)c(O)c(C)c2O)c(O)c(C)c1O.Cc1ccc(C)c(N)c1&&dia.cat0,2.8302273057
linker102_C_linker78_C_uot_relaxed,Cc1ccc2c(c1)C1(c3cc(C)ccc3C2)c2cc(C)ccc2Cc2ccc(C)cc21.COc1nc(C)ncc1C&&uot.cat0,2.5762893998
